feature,label,design_axis,placement,point_index,x,y,baseline,x_5pct,x_95pct,training_support_n,unique_values
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,35,0.13898334,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,36,0.1429543,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,37,0.14692525,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,38,0.1508962,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,39,0.15486716,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,40,0.15883811,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,41,0.16280906,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,42,0.16678001,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,43,0.17075097,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,44,0.17472192,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,45,0.17869287,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,46,0.18266382,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,47,0.18663478,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,48,0.19060573,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,49,0.19457668,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,50,0.19854763,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,51,0.20251859,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,52,0.20648954,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,53,0.21046049,1.8073771,1.8687346,0,0.21443145,1949,176
aem__hydration_transport_window_contrast,Hydration/transport-window contrast,hydration/transport balance,Fig. 3,54,0.21443145,1.8073771,1.8687346,0,0.21443145,1949,176
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,0,0.099253731,1.8214991,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,1,0.10387523,1.8214991,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,2,0.10849673,1.8206839,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,3,0.11311823,1.8216413,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,4,0.11773973,1.8216318,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,5,0.12236123,1.8260821,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,6,0.12698273,1.8260821,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,7,0.13160423,1.8260821,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,8,0.13622573,1.849337,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,9,0.14084723,1.8546854,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,10,0.14546873,1.8647901,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,11,0.15009023,1.8692925,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,12,0.15471173,1.8704025,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,13,0.15933323,1.8704025,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,14,0.16395473,1.8698294,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,15,0.16857623,1.8692679,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,16,0.17319773,1.8686935,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,17,0.17781923,1.8690947,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,18,0.18244073,1.8685742,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,19,0.18706223,1.8687346,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,20,0.19168373,1.8688878,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,21,0.19630523,1.8689616,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,22,0.20092673,1.8686269,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,23,0.20554823,1.8686269,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,24,0.21016973,1.8686269,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,25,0.21479123,1.8686269,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,26,0.21941273,1.8686269,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,27,0.22403423,1.8694881,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,28,0.22865573,1.8694881,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,29,0.23327723,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,30,0.23789873,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,31,0.24252023,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,32,0.24714173,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,33,0.25176323,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,34,0.25638473,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,35,0.26100623,1.8696336,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,36,0.26562774,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
aem__free_volume,Free-volume-related descriptor,packing/accessibility,Fig. 3,37,0.27024924,1.8695859,1.8687346,0.099253731,0.34881474,1844,432
