feature,display_label,design_axis,status,n_non_missing,unique_values,x_5pct,x_95pct,training_support_n,response_amplitude_log10,response_direction_5pct_to_95pct,importance_mean,importance_std,full_model_importance_rank,selection_frequency
aem__cyclic_cation_fraction,Cyclic cation fraction,AEM descriptor,excluded_not_selected_in_reference_model,2049,67,0.0,1.0,2049,0.0,,0.0,,,
aem__has_guanidinium_like,Has guanidinium like,AEM descriptor,excluded_not_selected_in_reference_model,2049,1,0.0,0.0,2049,0.0,,0.0,,,
aem__has_phosphonium_like,Has phosphonium like,AEM descriptor,excluded_not_selected_in_reference_model,2049,1,0.0,0.0,2049,0.0,,0.0,,,
aem__has_pyridinium_like,Has pyridinium like,AEM descriptor,excluded_not_selected_in_reference_model,2049,1,0.0,0.0,2049,0.0,,0.0,,,
aem__ionogenic_site_count_proxy,Ionogenic site count,AEM descriptor,excluded_not_selected_in_reference_model,2049,139,0.21,4.0,1858,0.0,,0.0,,,
aem__local_charge_density_proxy,Local charge density,ionic-site density,excluded_not_selected_in_reference_model,2049,378,0.0279342723004694,0.12,1845,0.0,,0.0,,,
aem__spacer_length_proxy,Spacer length,cation placement,excluded_not_selected_in_reference_model,2049,206,1.5,11.5,1851,0.0,,0.0,,,
aem__steric_hindrance_proxy,Steric hindrance,AEM descriptor,excluded_not_selected_in_reference_model,2049,328,0.0,1.0714285714285714,1950,0.0,,0.0,,,
aem__accessibility_contrast,Accessibility contrast,packing/accessibility,excluded_not_selected_in_reference_model,2049,163,0.0,0.8562457868809958,1967,0.0,,0.0,,,
aem__architecture_weighted_channel_index,Architecture weighted channel index,packing/accessibility,excluded_not_selected_in_reference_model,2049,380,0.0,0.2513515845767268,1948,0.0,,0.0,,,
aem__architecture_weighted_segregation,Architecture weighted segregation,AEM descriptor,excluded_not_selected_in_reference_model,2049,357,0.0,0.7789619653323997,1947,0.0,,0.0,,,
aem__asymmetric_copolymer_flag,Asymmetric copolymer flag,AEM descriptor,excluded_not_selected_in_reference_model,2049,2,0.0,1.0,2049,0.0,,0.0,,,
aem__cation_localization_contrast,Cation localization contrast,cation exposure,excluded_not_selected_in_reference_model,2049,137,0.0,0.0707070707070707,1958,0.0,,0.0,,,
aem__channel_bottleneck_penalty,Channel bottleneck penalty,packing/accessibility,excluded_not_selected_in_reference_model,2049,377,0.0,0.0438431820986101,1949,0.0,,0.0,,,
